Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
5/20,3/20,5200,520000,37.99029469490051,3453.30469417572,119.10106080025434,1190.75694732368,0.94,0.94,2.12,-73.26
5/20,4/20,5250,525000,37.60329246520996,3432.8888578414917,118.08914149552584,1122.486106865108,0.86,0.86,3.14,-148.41
5/20,5/20,5300,530000,37.7187135219574,3376.6627666950226,119.01859629899263,1113.16178586334,0.85,0.85,3.07,-154.96
5/20,6/20,5350,535000,37.42362308502197,3424.0146191120148,116.85909394919872,1170.0998430624604,0.85,0.85,2.79,-163.64
5/20,7/20,5400,540000,37.54834580421448,3436.631783723831,114.6200945302844,1130.8191339075565,0.82,0.82,3.37,-181.41
5/20,8/20,5450,545000,38.333449602127075,3438.9135785102844,115.32030120491982,1201.1169850155711,0.86,0.86,3.1,-155.09
5/20,9/20,5500,550000,37.87739300727844,3432.4981894493103,115.80311166495085,1126.7093487903476,0.85,0.85,3.16,-167.05
5/20,10/20,5550,555000,37.56009840965271,3458.820691347122,115.60278614610434,1064.8409834727645,0.77,0.77,3.6,-227.68
5/20,11/20,5600,560000,37.965930700302124,3473.359275341034,113.42753826081753,1056.7348263561726,0.89,0.89,2.37,-117.06
5/20,12/20,5650,565000,37.56629419326782,3450.4734692573547,112.95564016699791,1074.4998928010464,0.82,0.82,3.41,-187.28
5/20,13/20,5700,570000,38.67118239402771,3477.1891083717346,114.41281500458717,1142.7399762421846,0.76,0.76,3.82,-237.17
5/20,14/20,5750,575000,38.898120164871216,3449.988337278366,116.0580645352602,1083.4559261873364,0.81,0.81,4.64,-194.66
5/20,15/20,5800,580000,38.064143657684326,3492.435515165329,116.38203289359808,1147.1373033970594,0.75,0.75,4.77,-287.05
5/20,16/20,5850,585000,38.118165493011475,3467.0520565509796,114.96770828962326,1172.9884101971984,0.84,0.84,3.73,-174.31
5/20,17/20,5900,590000,37.777769565582275,3430.9722862243652,116.1204243004322,1154.6059773415327,0.81,0.81,3.0,-193.7
5/20,18/20,5950,595000,37.91269016265869,3452.229391336441,116.68996178358793,988.9118622392416,0.79,0.79,3.69,-214.05
5/20,19/20,6000,600000,38.13750338554382,3496.3546934127808,115.81855899095535,1142.066780038178,0.81,0.81,3.3,-196.23
6/20,0/20,6050,605000,37.89463400840759,3438.06191945076,114.7850864008069,1098.8337880447507,0.88,0.88,3.41,-153.9
6/20,1/20,6100,610000,37.693994998931885,3487.262398958206,112.67974133044481,1125.4283989816904,0.84,0.84,3.0,-175.75
6/20,2/20,6150,615000,38.019896030426025,3475.668782711029,111.96896523237228,1137.1769336611032,0.83,0.83,3.09,-173.06
6/20,3/20,6200,620000,37.979450702667236,3541.803037405014,108.81953959912062,1212.7549366280437,0.85,0.85,2.61,-160.74
6/20,4/20,6250,625000,37.83221483230591,3559.391487598419,108.32298050820827,1196.346078850329,0.84,0.84,2.99,-164.1
6/20,5/20,6300,630000,38.07830047607422,3524.5988998413086,111.61158207803965,1174.7167242318392,0.89,0.89,2.54,-117.6
6/20,6/20,6350,635000,38.097315549850464,3515.3910965919495,115.13586592674255,1203.777004018426,0.89,0.89,2.31,-116.81
6/20,7/20,6400,640000,37.79359245300293,3530.270145177841,114.95205461233854,1263.4887150600553,0.79,0.79,3.89,-231.83
6/20,8/20,6450,645000,37.869385719299316,3482.9949748516083,113.90402494370937,1081.7582458257675,0.87,0.87,2.48,-135.28
6/20,9/20,6500,650000,37.859251737594604,3509.089813232422,112.74065410345793,1189.4773358032107,0.79,0.79,3.62,-213.86
6/20,10/20,6550,655000,37.616743326187134,3451.0466001033783,114.69287004321814,1194.8421774208546,0.79,0.79,3.88,-214.0
6/20,11/20,6600,660000,37.948336124420166,3480.843162178993,112.33006781339645,1198.6606224179268,0.81,0.81,3.49,-193.6
6/20,12/20,6650,665000,37.4531683921814,3473.375367164612,110.11497641354799,1212.809839837253,0.86,0.86,3.11,-156.23
6/20,13/20,6700,670000,38.08849596977234,3497.1411373615265,109.81114771217108,1169.9305875226855,0.83,0.83,3.68,-175.96
6/20,14/20,6750,675000,37.84658432006836,3518.518988609314,111.38358101993799,1096.4966154769063,0.88,0.88,3.16,-143.78
6/20,15/20,6800,680000,37.60176968574524,3544.512751340866,111.47266506403685,1166.2573496699333,0.83,0.83,4.04,-185.3
6/20,16/20,6850,685000,37.41289210319519,3542.2889273166656,111.19582268595695,1111.617123067379,0.77,0.77,3.93,-241.43
6/20,17/20,6900,690000,37.48573684692383,3564.607723712921,109.34826546907425,1180.782203413546,0.85,0.85,3.55,-157.03
6/20,18/20,6950,695000,38.039366722106934,3585.4672194719315,111.99214681237936,1153.8716477304697,0.87,0.87,3.06,-135.46
6/20,19/20,7000,700000,37.74862027168274,3562.5186953544617,108.1803455427289,1186.755325064063,0.85,0.85,3.08,-153.98
7/20,0/20,7050,705000,37.81349849700928,3595.045233130455,111.30814822018147,1047.8531307727098,0.77,0.77,4.01,-230.28
7/20,1/20,7100,710000,38.08496332168579,3618.9595844745636,109.72565745562315,1151.4559974893928,0.88,0.88,4.06,-132.46
7/20,2/20,7150,715000,38.05412817001343,3621.757176399231,110.38276360183954,1281.9669856578112,0.89,0.89,2.57,-126.5
7/20,3/20,7200,720000,37.95232963562012,3631.6965029239655,112.40400443226099,1254.7618680596352,0.86,0.86,3.85,-155.57
7/20,4/20,7250,725000,37.78354454040527,3656.432883501053,110.92099951952696,1260.3847103565931,0.85,0.85,3.51,-166.33
7/20,5/20,7300,730000,37.63726353645325,3648.2374131679535,112.12092336267233,1184.1975338459015,0.76,0.76,4.71,-249.4
7/20,6/20,7350,735000,38.287278175354004,3655.3775902986526,112.37432245910168,1269.650847069919,0.86,0.86,3.18,-145.83
7/20,7/20,7400,740000,38.14332938194275,3670.0525267124176,115.11768560111523,1188.52169842273,0.83,0.83,3.91,-204.64
7/20,8/20,7450,745000,37.68746733665466,3667.457519173622,113.7855848968029,1231.6537776589394,0.89,0.89,2.44,-129.06
7/20,9/20,7500,750000,37.97301912307739,3663.488669395447,109.45354313403368,1302.5661868304014,0.9,0.9,3.32,-112.63
7/20,10/20,7550,755000,38.06487250328064,3671.003675222397,112.76927771419287,1207.7084229812026,0.82,0.82,3.28,-184.77
7/20,11/20,7600,760000,37.99286150932312,3662.0083310604095,116.12082262337208,1290.524413138628,0.85,0.85,2.98,-155.86
7/20,12/20,7650,765000,37.85884165763855,3622.607757329941,115.07307679206133,1235.0238519534469,0.85,0.85,2.93,-169.99
7/20,13/20,7700,770000,37.61398983001709,3648.819247484207,117.35820063203573,1187.8907389193773,0.78,0.78,3.84,-234.1
7/20,14/20,7750,775000,38.04895615577698,3571.960005044937,118.52796112746,1225.368058912456,0.92,0.92,3.47,-96.53
7/20,15/20,7800,780000,37.53543710708618,3616.687419652939,115.08056259900331,1142.5473373532295,0.82,0.82,3.99,-205.86
7/20,16/20,7850,785000,37.75850820541382,3597.7625644207,116.45372044295073,1228.8027694672346,0.82,0.82,3.17,-181.24
7/20,17/20,7900,790000,37.80612754821777,3601.424719810486,116.29547242820263,1169.322335973382,0.86,0.86,3.37,-148.26
7/20,18/20,7950,795000,37.31569027900696,3597.6547729969025,114.18588783591986,1238.4043447598815,0.85,0.85,3.61,-165.88
7/20,19/20,8000,800000,37.366623640060425,3607.166676044464,113.86527553200722,1252.5380618944764,0.8,0.8,3.27,-198.54
8/20,0/20,8050,805000,37.89981031417847,3598.083663702011,115.16245821118355,1208.856259405613,0.82,0.82,3.26,-186.31
8/20,1/20,8100,810000,37.75843524932861,3613.4883048534393,115.3523570895195,1242.5056721791625,0.8,0.8,3.49,-198.98
8/20,2/20,8150,815000,37.931273460388184,3597.5400931835175,118.16837795823812,1217.1412886157632,0.9,0.9,2.58,-112.78
8/20,3/20,8200,820000,37.561025857925415,3602.6575894355774,119.34870657324791,1218.109301544726,0.87,0.87,2.96,-137.47
8/20,4/20,8250,825000,37.880685806274414,3580.7993490695953,118.77603529393673,1343.7424992397428,0.86,0.86,3.4,-146.62
8/20,5/20,8300,830000,37.708468198776245,3537.667221069336,116.4111300855875,1273.579399958253,0.87,0.87,3.14,-140.06
8/20,6/20,8350,835000,37.74943661689758,3582.209433078766,118.30116579681635,1309.90211994946,0.89,0.89,2.92,-126.14
8/20,7/20,8400,840000,37.93404769897461,3574.8435599803925,118.92968194931746,1216.3837080225348,0.85,0.85,3.1,-159.58
8/20,8/20,8450,845000,37.710888624191284,3560.859675884247,119.7371926382184,1275.5428397580981,0.83,0.83,3.19,-184.25
8/20,9/20,8500,850000,37.48119378089905,3548.5793976783752,118.97062706202269,1272.527585543692,0.78,0.78,3.39,-218.07
8/20,10/20,8550,855000,37.85731816291809,3547.5056807994843,116.19174189865589,1257.6362486109138,0.85,0.85,2.99,-162.5
8/20,11/20,8600,860000,38.03526186943054,3548.7344546318054,115.76343637704849,1208.9272839054465,0.91,0.91,2.38,-108.82
8/20,12/20,8650,865000,37.53957962989807,3572.233735561371,117.133914090693,1224.2451389953494,0.76,0.76,5.01,-248.03
8/20,13/20,8700,870000,37.733171701431274,3549.649052619934,118.71153722703457,1248.5817907750607,0.8,0.8,4.2,-203.82
8/20,14/20,8750,875000,38.26825165748596,3575.2489944696426,120.99729710817337,1192.3452559635043,0.86,0.86,2.81,-150.04
8/20,15/20,8800,880000,37.76781916618347,3572.834772706032,119.16215799748898,1250.2310526892543,0.8,0.8,3.31,-200.56
8/20,16/20,8850,885000,38.09960865974426,3583.7052068710327,111.91028979420662,1359.9785733520985,0.89,0.89,3.96,-138.05
8/20,17/20,8900,890000,37.836480379104614,3618.828365802765,111.63104213774204,1349.108817435801,0.85,0.85,3.42,-155.88
8/20,18/20,8950,895000,37.54619026184082,3641.593906879425,112.23292455077171,1309.9232411012053,0.85,0.85,2.6,-164.09
8/20,19/20,9000,900000,37.83155107498169,3625.1095834970474,113.7170145213604,1256.3912752717733,0.85,0.85,2.98,-164.89
