Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
8/20,0/20,8050,805000,85.80251169204712,5698.277010917664,172.4062013477087,556.4464076608419,0.93,0.93,1.12,-926.51
8/20,1/20,8100,810000,85.41619729995728,5638.5173869133,173.64855076372623,576.0807091295719,0.9,0.9,1.37,-929.86
8/20,2/20,8150,815000,85.42518448829651,5655.331729412079,169.23228684067726,554.3125445693731,0.95,0.95,0.51,-956.2
8/20,3/20,8200,820000,87.09382271766663,5602.024346828461,169.72140476107597,569.7753139734268,0.95,0.95,0.91,-903.98
8/20,4/20,8250,825000,86.23156809806824,5606.24317741394,174.19317856431007,564.8095595389605,0.97,0.97,0.82,-939.88
8/20,5/20,8300,830000,86.32565712928772,5551.546511650085,174.47674457728863,607.9161632061005,0.88,0.88,0.88,-925.19
8/20,6/20,8350,835000,86.6512804031372,5514.974181175232,172.36234310269356,567.6797782331705,0.96,0.96,0.84,-916.95
8/20,7/20,8400,840000,85.67291450500488,5510.7831745147705,171.84586989879608,582.731028392911,0.96,0.96,0.67,-913.86
8/20,8/20,8450,845000,86.70251417160034,5523.997619152069,172.58974988758564,591.2417000681162,0.49,0.49,0.65,-945.94
8/20,9/20,8500,850000,87.0483751296997,5492.657099723816,169.68915212154388,575.009918987751,0.96,0.96,1.15,-874.1
8/20,10/20,8550,855000,87.27392482757568,5459.196504116058,170.27752873301506,564.066843226552,0.9,0.9,0.54,-843.56
8/20,11/20,8600,860000,87.09162473678589,5476.298034667969,173.8393465578556,578.9120261371136,0.86,0.86,0.85,-875.29
8/20,12/20,8650,865000,86.47956848144531,5434.954073905945,171.82615868747234,562.9015826433897,0.98,0.98,0.95,-894.19
8/20,13/20,8700,870000,86.2723867893219,5422.408729553223,172.4249201864004,573.2958465367556,0.93,0.93,1.08,-888.02
8/20,14/20,8750,875000,87.44629526138306,5418.5053243637085,172.54084812104702,644.0786090642214,0.99,0.99,0.65,-863.49
8/20,15/20,8800,880000,85.95721745491028,5371.964770317078,173.49280500411987,601.5037235468626,0.94,0.94,0.63,-894.6
8/20,16/20,8850,885000,87.0341739654541,5380.869414806366,172.18668550252914,568.1178998947144,0.97,0.97,0.8,-828.77
8/20,17/20,8900,890000,86.6581060886383,5322.639702320099,176.43408173322678,601.6110771149397,0.76,0.76,0.76,-862.64
8/20,18/20,8950,895000,89.11188173294067,5312.612556695938,173.70393539965153,632.0676907896996,0.96,0.96,1.42,-634.67
8/20,19/20,9000,900000,86.13390278816223,5287.513667821884,172.9588647633791,620.4326267540455,0.96,0.96,0.72,-912.28
9/20,0/20,9050,905000,85.984783411026,5249.43456864357,174.07605329155922,564.0704399645329,0.9,0.9,0.96,-879.07
9/20,1/20,9100,910000,85.88556480407715,5271.287987709045,174.63703067600727,677.8200803250074,0.96,0.96,0.83,-919.6
9/20,2/20,9150,915000,86.56450176239014,5254.509161949158,174.57233014702797,640.5043763965368,0.97,0.97,0.62,-864.85
9/20,3/20,9200,920000,85.42509460449219,5216.659161329269,172.79500545561314,581.8389469981194,0.95,0.95,0.51,-949.93
9/20,4/20,9250,925000,85.61975836753845,5227.288766384125,172.5898234397173,675.5602150559425,0.91,0.91,1.1,-935.25
9/20,5/20,9300,930000,86.19291114807129,5230.764953136444,174.1617163270712,665.2165918946266,0.92,0.92,0.84,-838.04
9/20,6/20,9350,935000,85.49473690986633,5260.600000143051,174.16567221283913,724.3385935425758,0.99,0.99,0.49,-948.2
9/20,7/20,9400,940000,87.97378921508789,5209.675607204437,174.23034954071045,616.9345362484455,0.96,0.96,0.94,-715.52
9/20,8/20,9450,945000,86.76634240150452,5181.070629358292,176.0947342813015,650.1109521836042,0.92,0.92,0.62,-859.24
9/20,9/20,9500,950000,86.76997661590576,5235.335614681244,175.0460908561945,624.0203586667776,0.95,0.95,0.72,-884.96
9/20,10/20,9550,955000,86.045818567276,5194.856959104538,172.82362267374992,635.3521565049887,0.94,0.94,1.05,-909.19
9/20,11/20,9600,960000,86.31371784210205,5162.44499206543,175.05206790566444,682.5584590137005,0.82,0.82,1.0,-863.85
9/20,12/20,9650,965000,85.09607934951782,5153.567798137665,174.71597270667553,673.43539878726,0.79,0.79,0.79,-955.23
9/20,13/20,9700,970000,85.10580611228943,5201.049030303955,174.67130002379417,615.1932414770126,0.89,0.89,0.43,-965.74
9/20,14/20,9750,975000,85.67078876495361,5186.75639462471,173.1109714359045,602.0482094287872,0.89,0.89,0.52,-941.71
9/20,15/20,9800,980000,87.31055665016174,5164.561831474304,175.05660977959633,696.7154108583927,0.98,0.98,0.69,-817.62
